village_id,year,month,depth_m,change_from_prev_year_m,quality,data_source
RKT006,2023,9,22.3,0.35,moderate,estimated
RKT006,2023,10,22.3,0.35,moderate,estimated
RKT006,2023,11,22.3,0.35,moderate,estimated
RKT006,2023,12,23.7,0.35,moderate,estimated
RKT006,2024,1,24.05,0.35,moderate,estimated
RKT006,2024,2,24.05,0.35,moderate,estimated
RKT006,2024,3,24.05,0.35,moderate,estimated
RKT006,2024,4,25.65,0.35,saline,estimated
RKT006,2024,5,25.65,0.35,saline,estimated
RKT006,2024,6,25.65,0.35,saline,estimated
RKT006,2024,7,24.05,0.35,moderate,estimated
RKT006,2024,8,24.05,0.35,moderate,estimated
RKT006,2024,9,22.65,0.35,moderate,estimated
RKT006,2024,10,22.65,0.35,moderate,estimated
RKT006,2024,11,22.65,0.35,moderate,estimated
RKT006,2024,12,24.05,0.35,moderate,estimated
RKT007,2019,1,24.5,0.0,moderate,estimated
RKT007,2019,2,24.5,0.0,moderate,estimated
RKT007,2019,3,24.5,0.0,moderate,estimated
RKT007,2019,4,26.1,0.0,saline,estimated
RKT007,2019,5,26.1,0.0,saline,estimated
RKT007,2019,6,26.1,0.0,saline,estimated
RKT007,2019,7,24.5,0.0,moderate,estimated
RKT007,2019,8,24.5,0.0,moderate,estimated
RKT007,2019,9,23.1,0.0,moderate,estimated
RKT007,2019,10,23.1,0.0,moderate,estimated
RKT007,2019,11,23.1,0.0,moderate,estimated
RKT007,2019,12,24.5,0.0,moderate,estimated
RKT007,2020,1,24.85,0.35,moderate,estimated
RKT007,2020,2,24.85,0.35,moderate,estimated
RKT007,2020,3,24.85,0.35,moderate,estimated
RKT007,2020,4,26.45,0.35,saline,estimated
RKT007,2020,5,26.45,0.35,saline,estimated
RKT007,2020,6,26.45,0.35,saline,estimated
RKT007,2020,7,24.85,0.35,moderate,estimated
RKT007,2020,8,24.85,0.35,moderate,estimated
RKT007,2020,9,23.45,0.35,moderate,estimated
RKT007,2020,10,23.45,0.35,moderate,estimated
RKT007,2020,11,23.45,0.35,moderate,estimated
RKT007,2020,12,24.85,0.35,moderate,estimated
RKT007,2021,1,25.2,0.35,saline,estimated
RKT007,2021,2,25.2,0.35,saline,estimated
RKT007,2021,3,25.2,0.35,saline,estimated
RKT007,2021,4,26.8,0.35,saline,estimated
RKT007,2021,5,26.8,0.35,saline,estimated
RKT007,2021,6,26.8,0.35,saline,estimated
RKT007,2021,7,25.2,0.35,saline,estimated
RKT007,2021,8,25.2,0.35,saline,estimated
RKT007,2021,9,23.8,0.35,moderate,estimated
RKT007,2021,10,23.8,0.35,moderate,estimated
RKT007,2021,11,23.8,0.35,moderate,estimated
RKT007,2021,12,25.2,0.35,saline,estimated
RKT007,2022,1,25.55,0.35,saline,estimated
RKT007,2022,2,25.55,0.35,saline,estimated
RKT007,2022,3,25.55,0.35,saline,estimated
RKT007,2022,4,27.15,0.35,saline,estimated
RKT007,2022,5,27.15,0.35,saline,estimated
RKT007,2022,6,27.15,0.35,saline,estimated
RKT007,2022,7,25.55,0.35,saline,estimated
RKT007,2022,8,25.55,0.35,saline,estimated
RKT007,2022,9,24.15,0.35,moderate,estimated
RKT007,2022,10,24.15,0.35,moderate,estimated
RKT007,2022,11,24.15,0.35,moderate,estimated
RKT007,2022,12,25.55,0.35,saline,estimated
RKT007,2023,1,25.9,0.35,saline,estimated
RKT007,2023,2,25.9,0.35,saline,estimated
RKT007,2023,3,25.9,0.35,saline,estimated
RKT007,2023,4,27.5,0.35,saline,estimated
RKT007,2023,5,27.5,0.35,saline,estimated
RKT007,2023,6,27.5,0.35,saline,estimated
RKT007,2023,7,25.9,0.35,saline,estimated
RKT007,2023,8,25.9,0.35,saline,estimated
RKT007,2023,9,24.5,0.35,moderate,estimated
RKT007,2023,10,24.5,0.35,moderate,estimated
RKT007,2023,11,24.5,0.35,moderate,estimated
RKT007,2023,12,25.9,0.35,saline,estimated
RKT007,2024,1,26.25,0.35,saline,estimated
RKT007,2024,2,26.25,0.35,saline,estimated
RKT007,2024,3,26.25,0.35,saline,estimated
RKT007,2024,4,27.85,0.35,saline,estimated
RKT007,2024,5,27.85,0.35,saline,estimated
RKT007,2024,6,27.85,0.35,saline,estimated
RKT007,2024,7,26.25,0.35,saline,estimated
RKT007,2024,8,26.25,0.35,saline,estimated
RKT007,2024,9,24.85,0.35,moderate,estimated
RKT007,2024,10,24.85,0.35,moderate,estimated
RKT007,2024,11,24.85,0.35,moderate,estimated
RKT007,2024,12,26.25,0.35,saline,estimated
RKT008,2019,1,21.9,0.0,moderate,estimated
RKT008,2019,2,21.9,0.0,moderate,estimated
RKT008,2019,3,21.9,0.0,moderate,estimated
RKT008,2019,4,23.5,0.0,moderate,estimated
RKT008,2019,5,23.5,0.0,moderate,estimated
RKT008,2019,6,23.5,0.0,moderate,estimated
RKT008,2019,7,21.9,0.0,moderate,estimated
RKT008,2019,8,21.9,0.0,moderate,estimated
RKT008,2019,9,20.5,0.0,moderate,estimated
RKT008,2019,10,20.5,0.0,moderate,estimated
RKT008,2019,11,20.5,0.0,moderate,estimated
RKT008,2019,12,21.9,0.0,moderate,estimated
RKT008,2020,1,22.25,0.35,moderate,estimated
RKT008,2020,2,22.25,0.35,moderate,estimated
RKT008,2020,3,22.25,0.35,moderate,estimated
RKT008,2020,4,23.85,0.35,moderate,estimated
RKT008,2020,5,23.85,0.35,moderate,estimated
RKT008,2020,6,23.85,0.35,moderate,estimated
RKT008,2020,7,22.25,0.35,moderate,estimated
RKT008,2020,8,22.25,0.35,moderate,estimated
RKT008,2020,9,20.85,0.35,moderate,estimated
RKT008,2020,10,20.85,0.35,moderate,estimated
RKT008,2020,11,20.85,0.35,moderate,estimated
RKT008,2020,12,22.25,0.35,moderate,estimated
RKT008,2021,1,22.6,0.35,moderate,estimated
RKT008,2021,2,22.6,0.35,moderate,estimated
RKT008,2021,3,22.6,0.35,moderate,estimated
RKT008,2021,4,24.2,0.35,moderate,estimated
RKT008,2021,5,24.2,0.35,moderate,estimated
RKT008,2021,6,24.2,0.35,moderate,estimated
RKT008,2021,7,22.6,0.35,moderate,estimated
RKT008,2021,8,22.6,0.35,moderate,estimated
RKT008,2021,9,21.2,0.35,moderate,estimated
RKT008,2021,10,21.2,0.35,moderate,estimated
RKT008,2021,11,21.2,0.35,moderate,estimated
RKT008,2021,12,22.6,0.35,moderate,estimated
RKT008,2022,1,22.95,0.35,moderate,estimated
RKT008,2022,2,22.95,0.35,moderate,estimated
RKT008,2022,3,22.95,0.35,moderate,estimated
