village_id,year,domestic_demand_mcm,agricultural_demand_mcm,industrial_demand_mcm,total_demand_mcm,available_supply_mcm,deficit_mcm,data_source
RKT008,2021,0.18,18.2,0.045,18.42,14.26,-4.16,estimated
RKT008,2022,0.183,18.55,0.046,18.78,15.2,-3.58,estimated
RKT008,2023,0.187,18.9,0.046,19.13,13.47,-5.66,estimated
RKT008,2024,0.19,19.25,0.047,19.49,16.29,-3.2,estimated
RKT009,2019,0.828,70.0,0.207,71.03,65.63,-5.4,estimated
RKT009,2020,0.845,71.4,0.211,72.46,65.04,-7.42,estimated
RKT009,2021,0.861,72.8,0.215,73.88,57.21,-16.67,estimated
RKT009,2022,0.878,74.2,0.219,75.3,60.96,-14.34,estimated
RKT009,2023,0.894,75.6,0.224,76.72,54.01,-22.71,estimated
RKT009,2024,0.911,77.0,0.228,78.14,65.33,-12.81,estimated
RKT010,2019,1.647,90.0,0.412,92.06,85.06,-7.0,estimated
RKT010,2020,1.68,91.8,0.42,93.9,84.28,-9.62,estimated
RKT010,2021,1.713,93.6,0.428,95.74,74.14,-21.6,estimated
RKT010,2022,1.746,95.4,0.437,97.58,79.0,-18.58,estimated
RKT010,2023,1.779,97.2,0.445,99.42,69.99,-29.43,estimated
RKT010,2024,1.812,99.0,0.453,101.26,84.65,-16.61,estimated
RKT011,2019,1.643,80.0,0.411,82.05,75.81,-6.24,estimated
RKT011,2020,1.676,81.6,0.419,83.7,75.13,-8.57,estimated
RKT011,2021,1.709,83.2,0.427,85.34,66.09,-19.25,estimated
RKT011,2022,1.742,84.8,0.436,86.98,70.42,-16.56,estimated
RKT011,2023,1.774,86.4,0.444,88.62,62.39,-26.23,estimated
RKT011,2024,1.807,88.0,0.452,90.26,75.46,-14.8,estimated
RKT012,2019,1.104,65.0,0.276,66.38,61.34,-5.04,estimated
RKT012,2020,1.126,66.3,0.282,67.71,60.78,-6.93,estimated
RKT012,2021,1.148,67.6,0.287,69.04,53.46,-15.58,estimated
RKT012,2022,1.17,68.9,0.293,70.36,56.96,-13.4,estimated
RKT012,2023,1.192,70.2,0.298,71.69,50.47,-21.22,estimated
RKT012,2024,1.214,71.5,0.304,73.02,61.04,-11.98,estimated
RKT013,2019,0.407,39.0,0.102,39.51,36.51,-3.0,estimated
RKT013,2020,0.415,39.78,0.104,40.3,36.17,-4.13,estimated
RKT013,2021,0.423,40.56,0.106,41.09,31.82,-9.27,estimated
RKT013,2022,0.431,41.34,0.108,41.88,33.91,-7.97,estimated
RKT013,2023,0.44,42.12,0.11,42.67,30.04,-12.63,estimated
RKT013,2024,0.448,42.9,0.112,43.46,36.33,-7.13,estimated
RKT014,2019,1.141,72.5,0.285,73.93,68.31,-5.62,estimated
RKT014,2020,1.164,73.95,0.291,75.4,67.68,-7.72,estimated
RKT014,2021,1.187,75.4,0.296,76.88,59.54,-17.34,estimated
RKT014,2022,1.209,76.85,0.302,78.36,63.44,-14.92,estimated
RKT014,2023,1.232,78.3,0.308,79.84,56.21,-23.63,estimated
RKT014,2024,1.255,79.75,0.314,81.32,67.98,-13.34,estimated
RKT015,2019,0.622,51.0,0.155,51.78,47.84,-3.94,estimated
RKT015,2020,0.634,52.02,0.158,52.81,47.4,-5.41,estimated
RKT015,2021,0.647,53.04,0.161,53.85,41.7,-12.15,estimated
RKT015,2022,0.659,54.06,0.164,54.88,44.43,-10.45,estimated
RKT015,2023,0.672,55.08,0.167,55.92,39.37,-16.55,estimated
RKT015,2024,0.684,56.1,0.171,56.95,47.61,-9.34,estimated
JNG001,2019,0.403,36.0,0.101,36.5,33.73,-2.77,estimated
JNG001,2020,0.411,36.72,0.103,37.23,33.42,-3.81,estimated
JNG001,2021,0.419,37.44,0.105,37.96,29.4,-8.56,estimated
JNG001,2022,0.427,38.16,0.107,38.69,31.32,-7.37,estimated
JNG001,2023,0.435,38.88,0.109,39.42,27.75,-11.67,estimated
JNG001,2024,0.443,39.6,0.111,40.15,33.57,-6.58,estimated
JNG002,2019,0.539,49.0,0.135,49.67,45.9,-3.77,estimated
JNG002,2020,0.55,49.98,0.138,50.67,45.48,-5.19,estimated
JNG002,2021,0.561,50.96,0.14,51.66,40.01,-11.65,estimated
JNG002,2022,0.571,51.94,0.143,52.65,42.63,-10.02,estimated
JNG002,2023,0.582,52.92,0.146,53.65,37.77,-15.88,estimated
JNG002,2024,0.593,53.9,0.149,54.64,45.68,-8.96,estimated
JNG003,2019,0.683,55.0,0.171,55.85,51.61,-4.24,estimated
JNG003,2020,0.697,56.1,0.174,56.97,51.14,-5.83,estimated
JNG003,2021,0.71,57.2,0.178,58.09,44.98,-13.11,estimated
JNG003,2022,0.724,58.3,0.181,59.21,47.94,-11.27,estimated
JNG003,2023,0.738,59.4,0.185,60.32,42.47,-17.85,estimated
JNG003,2024,0.751,60.5,0.188,61.44,51.36,-10.08,estimated
JNG004,2019,0.675,44.5,0.169,45.34,41.89,-3.45,estimated
JNG004,2020,0.689,45.39,0.172,46.25,41.51,-4.74,estimated
JNG004,2021,0.702,46.28,0.176,47.16,36.52,-10.64,estimated
JNG004,2022,0.716,47.17,0.179,48.06,38.91,-9.15,estimated
JNG004,2023,0.729,48.06,0.183,48.97,34.47,-14.5,estimated
JNG004,2024,0.743,48.95,0.186,49.88,41.7,-8.18,estimated
JNG005,2019,0.366,31.5,0.091,31.96,29.53,-2.43,estimated
JNG005,2020,0.373,32.13,0.093,32.6,29.26,-3.34,estimated
JNG005,2021,0.381,32.76,0.095,33.24,25.74,-7.5,estimated
JNG005,2022,0.388,33.39,0.096,33.87,27.42,-6.45,estimated
JNG005,2023,0.395,34.02,0.098,34.51,24.3,-10.21,estimated
JNG005,2024,0.403,34.65,0.1,35.15,29.39,-5.76,estimated
JNG006,2019,0.311,27.0,0.078,27.39,25.31,-2.08,estimated
JNG006,2020,0.317,27.54,0.08,27.94,25.08,-2.86,estimated
JNG006,2021,0.323,28.08,0.081,28.48,22.05,-6.43,estimated
JNG006,2022,0.33,28.62,0.083,29.03,23.5,-5.53,estimated
JNG006,2023,0.336,29.16,0.084,29.58,20.82,-8.76,estimated
JNG006,2024,0.342,29.7,0.086,30.13,25.19,-4.94,estimated
JNG007,2019,0.471,41.0,0.118,41.59,38.43,-3.16,estimated
JNG007,2020,0.48,41.82,0.12,42.42,38.08,-4.34,estimated
JNG007,2021,0.49,42.64,0.123,43.25,33.49,-9.76,estimated
JNG007,2022,0.499,43.46,0.125,44.08,35.69,-8.39,estimated
JNG007,2023,0.509,44.28,0.127,44.92,31.62,-13.3,estimated
JNG007,2024,0.518,45.1,0.13,45.75,38.25,-7.5,estimated
JNG008,2019,0.653,52.5,0.163,53.32,49.27,-4.05,estimated
JNG008,2020,0.666,53.55,0.166,54.38,48.81,-5.57,estimated
JNG008,2021,0.679,54.6,0.17,55.45,42.94,-12.51,estimated
JNG008,2022,0.692,55.65,0.173,56.51,45.75,-10.76,estimated
JNG008,2023,0.705,56.7,0.176,57.58,40.54,-17.04,estimated
JNG008,2024,0.718,57.75,0.179,58.65,49.03,-9.62,estimated
AMR001,2019,0.843,67.0,0.211,68.05,62.88,-5.17,estimated
AMR001,2020,0.86,68.34,0.215,69.42,62.31,-7.11,estimated
AMR001,2021,0.877,69.68,0.219,70.78,54.81,-15.97,estimated
AMR001,2022,0.894,71.02,0.224,72.14,58.4,-13.74,estimated
AMR001,2023,0.91,72.36,0.228,73.5,51.74,-21.76,estimated
AMR001,2024,0.927,73.7,0.232,74.86,62.58,-12.28,estimated
AMR002,2019,0.499,44.5,0.125,45.12,41.69,-3.43,estimated
AMR002,2020,0.509,45.39,0.128,46.03,41.32,-4.71,estimated
AMR002,2021,0.519,46.28,0.13,46.93,36.34,-10.59,estimated
AMR002,2022,0.529,47.17,0.133,47.83,38.72,-9.11,estimated
AMR002,2023,0.539,48.06,0.135,48.73,34.31,-14.42,estimated
AMR002,2024,0.549,48.95,0.138,49.64,41.5,-8.14,estimated
AMR003,2019,0.232,21.0,0.058,21.29,19.67,-1.62,estimated
AMR003,2020,0.237,21.42,0.059,21.72,19.5,-2.22,estimated
AMR003,2021,0.241,21.84,0.06,22.14,17.15,-4.99,estimated
AMR003,2022,0.246,22.26,0.061,22.57,18.27,-4.3,estimated
AMR003,2023,0.251,22.68,0.063,22.99,16.18,-6.81,estimated
AMR003,2024,0.255,23.1,0.064,23.42,19.58,-3.84,estimated
AMR004,2019,0.37,33.5,0.092,33.96,31.38,-2.58,estimated
AMR004,2020,0.377,34.17,0.094,34.64,31.09,-3.55,estimated
AMR004,2021,0.385,34.84,0.096,35.32,27.35,-7.97,estimated
AMR004,2022,0.392,35.51,0.098,36.0,29.15,-6.85,estimated
AMR004,2023,0.4,36.18,0.099,36.68,25.82,-10.86,estimated
AMR004,2024,0.407,36.85,0.101,37.36,31.23,-6.13,estimated
AMR005,2019,0.488,39.0,0.122,39.61,36.6,-3.01,estimated
AMR005,2020,0.498,39.78,0.124,40.4,36.26,-4.14,estimated
AMR005,2021,0.508,40.56,0.127,41.19,31.9,-9.29,estimated
AMR005,2022,0.517,41.34,0.129,41.99,34.0,-7.99,estimated
AMR005,2023,0.527,42.12,0.132,42.78,30.12,-12.66,estimated
AMR005,2024,0.537,42.9,0.134,43.57,36.42,-7.15,estimated
AMR006,2019,0.272,24.5,0.068,24.84,22.95,-1.89,estimated
AMR006,2020,0.277,24.99,0.069,25.34,22.75,-2.59,estimated
AMR006,2021,0.283,25.48,0.071,25.83,20.0,-5.83,estimated
AMR006,2022,0.288,25.97,0.072,26.33,21.32,-5.01,estimated
AMR006,2023,0.294,26.46,0.073,26.83,18.89,-7.94,estimated
AMR006,2024,0.299,26.95,0.075,27.32,22.84,-4.48,estimated
AMR007,2019,1.042,72.5,0.261,73.8,68.19,-5.61,estimated
AMR007,2020,1.063,73.95,0.266,75.28,67.57,-7.71,estimated
AMR007,2021,1.084,75.4,0.271,76.76,59.44,-17.32,estimated
AMR007,2022,1.105,76.85,0.277,78.23,63.34,-14.89,estimated
AMR007,2023,1.125,78.3,0.282,79.71,56.12,-23.59,estimated
AMR007,2024,1.146,79.75,0.287,81.18,67.87,-13.31,estimated
AMR008,2019,0.346,30.5,0.086,30.93,28.58,-2.35,estimated
AMR008,2020,0.353,31.11,0.088,31.55,28.32,-3.23,estimated
AMR008,2021,0.36,31.72,0.089,32.17,24.91,-7.26,estimated
AMR008,2022,0.367,32.33,0.091,32.79,26.55,-6.24,estimated
AMR008,2023,0.374,32.94,0.093,33.41,23.52,-9.89,estimated
AMR008,2024,0.381,33.55,0.095,34.03,28.45,-5.58,estimated
AMR009,2019,0.195,17.0,0.049,17.24,15.93,-1.31,estimated
AMR009,2020,0.199,17.34,0.05,17.59,15.79,-1.8,estimated
AMR009,2021,0.203,17.68,0.051,17.93,13.88,-4.05,estimated
AMR009,2022,0.207,18.02,0.052,18.28,14.8,-3.48,estimated
AMR009,2023,0.211,18.36,0.053,18.62,13.11,-5.51,estimated
AMR009,2024,0.215,18.7,0.054,18.97,15.86,-3.11,estimated
AMR010,2019,0.245,23.0,0.061,23.31,21.54,-1.77,estimated
AMR010,2020,0.25,23.46,0.062,23.77,21.34,-2.43,estimated
AMR010,2021,0.255,23.92,0.063,24.24,18.77,-5.47,estimated
AMR010,2022,0.26,24.38,0.065,24.7,20.0,-4.7,estimated
AMR010,2023,0.265,24.84,0.066,25.17,17.72,-7.45,estimated
AMR010,2024,0.27,25.3,0.067,25.64,21.44,-4.2,estimated
BHV001,2019,0.999,80.0,0.25,81.25,75.08,-6.17,estimated
BHV001,2020,1.019,81.6,0.255,82.87,74.38,-8.49,estimated
BHV001,2021,1.039,83.2,0.26,84.5,65.44,-19.06,estimated
BHV001,2022,1.059,84.8,0.265,86.12,69.72,-16.4,estimated
BHV001,2023,1.079,86.4,0.27,87.75,61.78,-25.97,estimated
BHV001,2024,1.099,88.0,0.275,89.37,74.71,-14.66,estimated
BHV002,2019,0.585,47.0,0.146,47.73,44.1,-3.63,estimated
BHV002,2020,0.597,47.94,0.149,48.69,43.7,-4.99,estimated
BHV002,2021,0.608,48.88,0.152,49.64,38.44,-11.2,estimated
BHV002,2022,0.62,49.82,0.155,50.59,40.96,-9.63,estimated
BHV002,2023,0.632,50.76,0.158,51.55,36.29,-15.26,estimated
BHV002,2024,0.643,51.7,0.161,52.5,43.89,-8.61,estimated
BHV003,2019,1.145,85.0,0.286,86.43,79.86,-6.57,estimated
BHV003,2020,1.168,86.7,0.292,88.16,79.13,-9.03,estimated
BHV003,2021,1.191,88.4,0.297,89.89,69.61,-20.28,estimated
BHV003,2022,1.214,90.1,0.303,91.62,74.18,-17.44,estimated
BHV003,2023,1.237,91.8,0.309,93.35,65.72,-27.63,estimated
BHV003,2024,1.26,93.5,0.315,95.07,79.48,-15.59,estimated
BHV004,2019,1.113,82.5,0.278,83.89,77.51,-6.38,estimated
BHV004,2020,1.135,84.15,0.284,85.57,76.81,-8.76,estimated
BHV004,2021,1.158,85.8,0.289,87.25,67.57,-19.68,estimated
BHV004,2022,1.18,87.45,0.295,88.92,71.99,-16.93,estimated
BHV004,2023,1.202,89.1,0.3,90.6,63.78,-26.82,estimated
BHV004,2024,1.224,90.75,0.306,92.28,77.15,-15.13,estimated
BHV005,2019,0.276,25.5,0.069,25.84,23.88,-1.96,estimated
BHV005,2020,0.282,26.01,0.07,26.36,23.66,-2.7,estimated
BHV005,2021,0.287,26.52,0.072,26.88,20.82,-6.06,estimated
BHV005,2022,0.293,27.03,0.073,27.4,22.18,-5.22,estimated
BHV005,2023,0.298,27.54,0.075,27.91,19.65,-8.26,estimated
BHV005,2024,0.304,28.05,0.076,28.43,23.77,-4.66,estimated
SRN001,2019,1.778,110.0,0.445,112.22,103.69,-8.53,estimated
SRN001,2020,1.814,112.2,0.454,114.47,102.75,-11.72,estimated
SRN001,2021,1.849,114.4,0.463,116.71,90.38,-26.33,estimated
SRN001,2022,1.885,116.6,0.472,118.96,96.31,-22.65,estimated
SRN001,2023,1.92,118.8,0.481,121.2,85.32,-35.88,estimated
SRN001,2024,1.956,121.0,0.49,123.45,103.2,-20.25,estimated
SRN002,2019,0.922,72.5,0.231,73.65,68.05,-5.6,estimated
SRN002,2020,0.94,73.95,0.236,75.13,67.44,-7.69,estimated
SRN002,2021,0.959,75.4,0.24,76.6,59.32,-17.28,estimated
SRN002,2022,0.977,76.85,0.245,78.07,63.21,-14.86,estimated
SRN002,2023,0.996,78.3,0.249,79.55,56.0,-23.55,estimated
SRN002,2024,1.014,79.75,0.254,81.02,67.73,-13.29,estimated
SRN003,2019,0.799,66.0,0.2,67.0,61.91,-5.09,estimated
SRN003,2020,0.815,67.32,0.204,68.34,61.34,-7.0,estimated
SRN003,2021,0.831,68.64,0.208,69.68,53.96,-15.72,estimated
SRN003,2022,0.847,69.96,0.212,71.02,57.5,-13.52,estimated
SRN003,2023,0.863,71.28,0.216,72.36,50.94,-21.42,estimated
SRN003,2024,0.879,72.6,0.22,73.7,61.61,-12.09,estimated
SRN004,2019,0.71,59.0,0.177,59.89,55.34,-4.55,estimated
SRN004,2020,0.724,60.18,0.181,61.08,54.83,-6.25,estimated
SRN004,2021,0.738,61.36,0.184,62.28,48.23,-14.05,estimated
SRN004,2022,0.753,62.54,0.188,63.48,51.39,-12.09,estimated
SRN004,2023,0.767,63.72,0.191,64.68,45.53,-19.15,estimated
SRN004,2024,0.781,64.9,0.195,65.88,55.08,-10.8,estimated
SRN005,2019,0.41,36.0,0.102,36.51,33.74,-2.77,estimated
SRN005,2020,0.418,36.72,0.104,37.24,33.43,-3.81,estimated
SRN005,2021,0.426,37.44,0.106,37.97,29.4,-8.57,estimated
SRN005,2022,0.435,38.16,0.108,38.7,31.33,-7.37,estimated
SRN005,2023,0.443,38.88,0.11,39.43,27.76,-11.67,estimated
SRN005,2024,0.451,39.6,0.112,40.16,33.57,-6.59,estimated
GIR001,2019,2.453,60.0,0.613,63.07,58.28,-4.79,estimated
GIR001,2020,2.502,61.2,0.625,64.33,57.74,-6.59,estimated
GIR001,2021,2.551,62.4,0.638,65.59,50.79,-14.8,estimated
GIR001,2022,2.6,63.6,0.65,66.85,54.12,-12.73,estimated
GIR001,2023,2.649,64.8,0.662,68.11,47.95,-20.16,estimated
GIR001,2024,2.698,66.0,0.674,69.37,57.99,-11.38,estimated
GIR002,2019,0.484,42.0,0.121,42.61,39.37,-3.24,estimated
GIR002,2020,0.494,42.84,0.123,43.46,39.01,-4.45,estimated
GIR002,2021,0.503,43.68,0.126,44.31,34.31,-10.0,estimated
GIR002,2022,0.513,44.52,0.128,45.16,36.56,-8.6,estimated
GIR002,2023,0.523,45.36,0.131,46.01,32.39,-13.62,estimated
GIR002,2024,0.532,46.2,0.133,46.87,39.18,-7.69,estimated
GIR003,2019,0.71,48.0,0.177,48.89,45.17,-3.72,estimated
GIR003,2020,0.724,48.96,0.181,49.86,44.75,-5.11,estimated
GIR003,2021,0.738,49.92,0.184,50.84,39.37,-11.47,estimated
GIR003,2022,0.753,50.88,0.188,51.82,41.95,-9.87,estimated
GIR003,2023,0.767,51.84,0.191,52.8,37.17,-15.63,estimated
GIR003,2024,0.781,52.8,0.195,53.78,44.96,-8.82,estimated
GIR004,2019,0.975,56.0,0.244,57.22,52.87,-4.35,estimated
GIR004,2020,0.994,57.12,0.249,58.36,52.38,-5.98,estimated
GIR004,2021,1.014,58.24,0.254,59.51,46.08,-13.43,estimated
GIR004,2022,1.034,59.36,0.259,60.65,49.1,-11.55,estimated
GIR004,2023,1.053,60.48,0.264,61.8,43.51,-18.29,estimated
GIR004,2024,1.073,61.6,0.268,62.94,52.62,-10.32,estimated
GIR005,2019,0.434,34.0,0.108,34.54,31.91,-2.63,estimated
GIR005,2020,0.443,34.68,0.11,35.23,31.62,-3.61,estimated
GIR005,2021,0.451,35.36,0.112,35.92,27.82,-8.1,estimated
GIR005,2022,0.46,36.04,0.114,36.61,29.64,-6.97,estimated
GIR005,2023,0.469,36.72,0.117,37.31,26.27,-11.04,estimated
GIR005,2024,0.477,37.4,0.119,38.0,31.77,-6.23,estimated
JMN001,2019,0.368,32.0,0.092,32.46,29.99,-2.47,estimated
JMN001,2020,0.375,32.64,0.094,33.11,29.72,-3.39,estimated
JMN001,2021,0.383,33.28,0.096,33.76,26.14,-7.62,estimated
JMN001,2022,0.39,33.92,0.098,34.41,27.86,-6.55,estimated
JMN001,2023,0.397,34.56,0.099,35.06,24.68,-10.38,estimated
JMN001,2024,0.405,35.2,0.101,35.71,29.85,-5.86,estimated
JMN002,2019,0.512,44.5,0.128,45.14,41.71,-3.43,estimated
JMN002,2020,0.522,45.39,0.131,46.04,41.33,-4.71,estimated
JMN002,2021,0.532,46.28,0.133,46.95,36.36,-10.59,estimated
JMN002,2022,0.543,47.17,0.136,47.85,38.74,-9.11,estimated
JMN002,2023,0.553,48.06,0.138,48.75,34.32,-14.43,estimated
JMN002,2024,0.563,48.95,0.141,49.65,41.51,-8.14,estimated
JMN003,2019,0.318,29.0,0.08,29.4,27.17,-2.23,estimated
JMN003,2020,0.324,29.58,0.082,29.99,26.92,-3.07,estimated
JMN003,2021,0.331,30.16,0.083,30.57,23.67,-6.9,estimated
JMN003,2022,0.337,30.74,0.085,31.16,25.23,-5.93,estimated
JMN003,2023,0.343,31.32,0.086,31.75,22.35,-9.4,estimated
JMN003,2024,0.35,31.9,0.088,32.34,27.04,-5.3,estimated
JMN004,2019,0.42,37.5,0.105,38.02,35.13,-2.89,estimated
JMN004,2020,0.428,38.25,0.107,38.79,34.82,-3.97,estimated
JMN004,2021,0.437,39.0,0.109,39.55,30.63,-8.92,estimated
JMN004,2022,0.445,39.75,0.111,40.31,32.63,-7.68,estimated
JMN004,2023,0.454,40.5,0.113,41.07,28.91,-12.16,estimated
JMN004,2024,0.462,41.25,0.116,41.83,34.97,-6.86,estimated
JMN005,2019,0.258,23.0,0.065,23.32,21.55,-1.77,estimated
JMN005,2020,0.263,23.46,0.066,23.79,21.35,-2.44,estimated
JMN005,2021,0.268,23.92,0.068,24.26,18.79,-5.47,estimated
JMN005,2022,0.273,24.38,0.069,24.72,20.01,-4.71,estimated
JMN005,2023,0.279,24.84,0.07,25.19,17.73,-7.46,estimated
JMN005,2024,0.284,25.3,0.072,25.66,21.45,-4.21,estimated
MOR001,2019,0.381,35.5,0.095,35.98,33.25,-2.73,estimated
MOR001,2020,0.389,36.21,0.097,36.7,32.94,-3.76,estimated
MOR001,2021,0.396,36.92,0.099,37.42,28.98,-8.44,estimated
MOR001,2022,0.404,37.63,0.101,38.13,30.87,-7.26,estimated
MOR001,2023,0.411,38.34,0.103,38.85,27.35,-11.5,estimated
MOR001,2024,0.419,39.05,0.105,39.57,33.08,-6.49,estimated
MOR002,2019,1.056,69.0,0.264,70.32,64.98,-5.34,estimated
MOR002,2020,1.077,70.38,0.269,71.73,64.38,-7.35,estimated
MOR002,2021,1.098,71.76,0.275,73.13,56.63,-16.5,estimated
MOR002,2022,1.119,73.14,0.28,74.54,60.35,-14.19,estimated
MOR002,2023,1.14,74.52,0.285,75.95,53.47,-22.48,estimated
MOR002,2024,1.162,75.9,0.29,77.35,64.66,-12.69,estimated
MOR003,2019,0.683,57.0,0.171,57.85,53.45,-4.4,estimated
MOR003,2020,0.697,58.14,0.174,59.01,52.97,-6.04,estimated
MOR003,2021,0.71,59.28,0.178,60.17,46.6,-13.57,estimated
MOR003,2022,0.724,60.42,0.181,61.33,49.65,-11.68,estimated
MOR003,2023,0.738,61.56,0.185,62.48,43.99,-18.49,estimated
MOR003,2024,0.751,62.7,0.188,63.64,53.2,-10.44,estimated
MOR004,2019,0.342,26.0,0.086,26.43,24.42,-2.01,estimated
MOR004,2020,0.349,26.52,0.088,26.96,24.2,-2.76,estimated
MOR004,2021,0.356,27.04,0.089,27.49,21.29,-6.2,estimated
MOR004,2022,0.363,27.56,0.091,28.01,22.68,-5.33,estimated
MOR004,2023,0.369,28.08,0.093,28.54,20.09,-8.45,estimated
MOR004,2024,0.376,28.6,0.095,29.07,24.3,-4.77,estimated
PBD001,2019,0.587,46.0,0.147,46.73,43.18,-3.55,estimated
PBD001,2020,0.599,46.92,0.15,47.67,42.79,-4.88,estimated
PBD001,2021,0.61,47.84,0.153,48.6,37.64,-10.96,estimated
PBD001,2022,0.622,48.76,0.156,49.54,40.11,-9.43,estimated
PBD001,2023,0.634,49.68,0.159,50.47,35.53,-14.94,estimated
PBD001,2024,0.646,50.6,0.162,51.41,42.98,-8.43,estimated
PBD002,2019,0.414,35.5,0.103,36.02,33.28,-2.74,estimated
PBD002,2020,0.422,36.21,0.105,36.74,32.98,-3.76,estimated
PBD002,2021,0.431,36.92,0.107,37.46,29.01,-8.45,estimated
PBD002,2022,0.439,37.63,0.109,38.18,30.91,-7.27,estimated
PBD002,2023,0.447,38.34,0.111,38.9,27.39,-11.51,estimated
PBD002,2024,0.455,39.05,0.113,39.62,33.12,-6.5,estimated
PBD003,2019,0.215,18.0,0.054,18.27,16.88,-1.39,estimated
PBD003,2020,0.219,18.36,0.055,18.63,16.72,-1.91,estimated
PBD003,2021,0.224,18.72,0.056,19.0,14.71,-4.29,estimated
PBD003,2022,0.228,19.08,0.057,19.37,15.68,-3.69,estimated
PBD003,2023,0.232,19.44,0.058,19.73,13.89,-5.84,estimated
PBD003,2024,0.237,19.8,0.059,20.1,16.8,-3.3,estimated
DWK001,2019,0.946,71.0,0.236,72.18,66.69,-5.49,estimated
DWK001,2020,0.965,72.42,0.241,73.63,66.09,-7.54,estimated
DWK001,2021,0.984,73.84,0.245,75.07,58.13,-16.94,estimated
DWK001,2022,1.003,75.26,0.25,76.51,61.94,-14.57,estimated
DWK001,2023,1.022,76.68,0.255,77.96,54.88,-23.08,estimated
DWK001,2024,1.041,78.1,0.26,79.4,66.38,-13.02,estimated
DWK002,2019,0.539,45.5,0.135,46.17,42.66,-3.51,estimated
DWK002,2020,0.55,46.41,0.138,47.1,42.28,-4.82,estimated
DWK002,2021,0.561,47.32,0.14,48.02,37.19,-10.83,estimated
DWK002,2022,0.571,48.23,0.143,48.94,39.62,-9.32,estimated
DWK002,2023,0.582,49.14,0.146,49.87,35.11,-14.76,estimated
DWK002,2024,0.593,50.05,0.149,50.79,42.46,-8.33,estimated
DWK003,2019,0.477,41.5,0.119,42.1,38.9,-3.2,estimated
DWK003,2020,0.487,42.33,0.121,42.94,38.54,-4.4,estimated
